,Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type,Part of Target Population,Recidivism Type,Sex
10830,2012,2015,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Burglary,Parole,2JD,No,,,,,Yes,No Recidivism,Male
10831,2012,2015,White - Hispanic,25-34,B Felony,Drug,Trafficking,Parole,ISC,No,,,,,No,No Recidivism,Male
10832,2012,2015,White - Hispanic,25-34,B Felony,Drug,Trafficking,Parole,ISC,No,,,,,No,No Recidivism,Male
10833,2012,2015,White - Hispanic,25-34,B Felony,Drug,Trafficking,Parole,ISC,No,,,,,No,No Recidivism,Male
10834,2012,2015,White - Hispanic,25-34,B Felony,Drug,Trafficking,Parole,ISC,No,,,,,No,No Recidivism,Male
10835,2012,2015,White - Hispanic,25-34,B Felony,Drug,Trafficking,Parole,ISC,No,,,,,No,No Recidivism,Male
10836,2012,2015,White - Hispanic,25-34,B Felony,Drug,Trafficking,Parole,ISC,No,,,,,No,No Recidivism,Male
10837,2012,2015,White - Hispanic,25-34,B Felony,Drug,Trafficking,Parole,ISC,No,,,,,No,No Recidivism,Male
10838,2012,2015,White - Hispanic,25-34,B Felony,Drug,Trafficking,Parole,ISC,No,,,,,No,No Recidivism,Male
10839,2012,2015,White - Hispanic,25-34,B Felony,Drug,Trafficking,Parole,ISC,No,,,,,No,No Recidivism,Male
10840,2012,2015,White - Hispanic,25-34,B Felony,Drug,Trafficking,Parole,ISC,No,,,,,No,No Recidivism,Male
10841,2012,2015,White - Non-Hispanic,Under 25,C Felony,Violent,Assault,Parole,4JD,No,,,,,Yes,No Recidivism,Female
10842,2012,2015,White - Non-Hispanic,Under 25,C Felony,Violent,Assault,Parole,4JD,No,,,,,Yes,No Recidivism,Female
10843,2012,2015,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Other,Special Sentence Revocation,Special Sentence,7JD,Yes,24.0,,,,Yes,Tech,Male
10844,2012,2015,White - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Parole,3JD,Yes,56.0,,,,Yes,Tech,Female
10845,2012,2015,Black - Non-Hispanic,25-34,D Felony,Public Order,OWI,Parole,6JD,No,,,,,No,No Recidivism,Male
10846,2012,2015,White - Non-Hispanic,35-44,D Felony,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,Yes,218.0,D Felony,Drug,Trafficking,No,New,Male
10847,2012,2015,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Female
10848,2012,2015,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Female
10849,2012,2015,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Female
10850,2012,2015,White - Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,ISC,No,,,,,Yes,No Recidivism,Male
10851,2012,2015,Black - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Property,Burglary,Parole,6JD,Yes,35.0,,,,Yes,Tech,Male
10852,2012,2015,White - Non-Hispanic,Under 25,C Felony,Property,Theft,Parole,6JD,Yes,450.0,,,,Yes,Tech,Male
10853,2012,2015,Black - Non-Hispanic,35-44,D Felony,Drug,Trafficking,Parole,1JD,No,,,,,Yes,No Recidivism,Male
10854,2012,2015,Black - Non-Hispanic,35-44,D Felony,Drug,Trafficking,Parole,1JD,No,,,,,Yes,No Recidivism,Male
10855,2012,2015,Black - Non-Hispanic,35-44,D Felony,Drug,Trafficking,Parole,1JD,No,,,,,Yes,No Recidivism,Male
10856,2012,2015,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,ISC,Yes,271.0,,,,Yes,Tech,Female
10857,2012,2015,White - Non-Hispanic,35-44,B Felony,Violent,Murder/Manslaughter,Parole,6JD,No,,,,,Yes,No Recidivism,Male
10858,2012,2015,Black - Non-Hispanic,45-54,D Felony,Property,Theft,Parole,ISC,No,,,,,Yes,No Recidivism,Male
10859,2012,2015,Black - Non-Hispanic,45-54,D Felony,Property,Theft,Parole,1JD,No,,,,,Yes,No Recidivism,Female
10860,2012,2015,White - Non-Hispanic,35-44,D Felony,Public Order,OWI,Parole,7JD,No,,,,,No,No Recidivism,Female
10861,2012,2015,White - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,7JD,No,,,,,Yes,No Recidivism,Male
10862,2012,2015,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,2JD,No,,,,,Yes,No Recidivism,Male
10863,2012,2015,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,Traffic,Parole,1JD,No,,,,,Yes,No Recidivism,Female
10864,2012,2015,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,1JD,No,,,,,Yes,No Recidivism,Male
10865,2012,2015,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,1JD,No,,,,,Yes,No Recidivism,Male
10866,2012,2015,White - Non-Hispanic,55 and Older,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Male
10867,2012,2015,White - Non-Hispanic,55 and Older,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Male
10868,2012,2015,White - Non-Hispanic,35-44,D Felony,Public Order,OWI,Parole,8JD,Yes,208.0,,,,Yes,Tech,Female
10869,2012,2015,White - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Public Order,OWI,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10870,2012,2015,White - Non-Hispanic,45-54,D Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Female
10871,2012,2015,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
10872,2012,2015,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
10873,2012,2015,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,41.0,,,,Yes,Tech,Female
10874,2012,2015,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,4JD,No,,,,,Yes,No Recidivism,Male
10875,2012,2015,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,4JD,No,,,,,Yes,No Recidivism,Male
10876,2012,2015,White - Non-Hispanic,55 and Older,Other Felony,Violent,Sex,Parole,7JD,No,,,,,No,No Recidivism,Male
10877,2012,2015,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Other,Special Sentence Revocation,Special Sentence,5JD,Yes,83.0,,,,Yes,Tech,Male
10878,2012,2015,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,1JD,Yes,480.0,Serious Misdemeanor,Public Order,Flight/Escape,Yes,New,Male
10879,2012,2015,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,2JD,Yes,128.0,Aggravated Misdemeanor,Property,Burglary,Yes,New,Male
10880,2012,2015,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,267.0,D Felony,Property,Theft,No,New,Male
10881,2012,2015,White - Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,252.0,Aggravated Misdemeanor,Property,Forgery/Fraud,No,New,Male
10882,2012,2015,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,594.0,Aggravated Misdemeanor,Property,Vandalism,No,New,Male
10883,2012,2015,White - Hispanic,45-54,D Felony,Drug,Trafficking,Parole,ISC,No,,,,,No,No Recidivism,Male
10884,2012,2015,Asian or Pacific Islander - Non-Hispanic,25-34,Aggravated Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10885,2012,2015,American Indian or Alaska Native - Hispanic,25-34,C Felony,Drug,Trafficking,Parole,3JD,Yes,314.0,,,,Yes,Tech,Female
10886,2012,2015,White - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Public Order,OWI,Parole,6JD,No,,,,,Yes,No Recidivism,Male
10887,2012,2015,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole,3JD,No,,,,,Yes,No Recidivism,Female
10888,2012,2015,Black - Non-Hispanic,55 and Older,D Felony,Public Order,OWI,Parole,7JD,Yes,947.0,Aggravated Misdemeanor,Public Order,Traffic,Yes,New,Male
10889,2012,2015,White - Non-Hispanic,35-44,D Felony,Public Order,OWI,Parole,5JD,Yes,391.0,,,,Yes,Tech,Male
10890,2012,2015,White - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,5JD,No,,,,,No,No Recidivism,Male
10891,2012,2015,Black - Non-Hispanic,Under 25,C Felony,Property,Theft,Parole,8JD,No,,,,,Yes,No Recidivism,Male
10892,2012,2015,Black - Non-Hispanic,Under 25,C Felony,Property,Theft,Parole,8JD,No,,,,,Yes,No Recidivism,Male
10893,2012,2015,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Other Violent,Parole,2JD,No,,,,,Yes,No Recidivism,Female
10894,2012,2015,White - Non-Hispanic,35-44,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10895,2012,2015,White - Non-Hispanic,Under 25,C Felony,Violent,Sex,Special Sentence,6JD,Yes,255.0,,,,Yes,Tech,Male
10896,2012,2015,White - Non-Hispanic,25-34,C Felony,Property,Arson,Parole,2JD,No,,,,,Yes,No Recidivism,Male
10897,2012,2015,White - Non-Hispanic,25-34,C Felony,Property,Arson,Parole,2JD,No,,,,,Yes,No Recidivism,Male
10898,2012,2015,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,OWI,Parole,8JD,Yes,299.0,C Felony,Property,Burglary,Yes,New,Male
10899,2012,2015,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10900,2012,2015,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10901,2012,2015,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10902,2012,2015,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10903,2012,2015,Black - Non-Hispanic,35-44,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,792.0,Aggravated Misdemeanor,Public Order,Weapons,No,New,Male
10904,2012,2015,White - Non-Hispanic,35-44,D Felony,Public Order,OWI,Parole,1JD,No,,,,,Yes,No Recidivism,Female
10905,2012,2015,Black - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,ISC,No,,,,,Yes,No Recidivism,Male
10906,2012,2015,White - Non-Hispanic,45-54,B Felony,Other,Other Criminal,Parole,4JD,Yes,659.0,,,,Yes,Tech,Male
10907,2012,2015,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Parole,2JD,Yes,379.0,,,,Yes,Tech,Male
10908,2012,2015,White - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Drug,Other Drug,Parole,5JD,Yes,728.0,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Male
10909,2012,2015,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,7JD,No,,,,,Yes,No Recidivism,Male
10910,2012,2015,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,7JD,No,,,,,Yes,No Recidivism,Male
10911,2012,2015,Black - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Violent,Assault,Parole,1JD,No,,,,,Yes,No Recidivism,Male
10912,2012,2015,Black - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10913,2012,2015,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Parole,1JD,No,,,,,Yes,No Recidivism,Male
10914,2012,2015,Black - Non-Hispanic,35-44,B Felony,Violent,Murder/Manslaughter,Parole,ISC,No,,,,,Yes,No Recidivism,Male
10915,2012,2015,Black - Non-Hispanic,35-44,B Felony,Violent,Murder/Manslaughter,Parole,ISC,No,,,,,Yes,No Recidivism,Male
10916,2012,2015,Black - Non-Hispanic,Under 25,C Felony,Violent,Murder/Manslaughter,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
10917,2012,2015,Black - Non-Hispanic,25-34,C Felony,Violent,Assault,Parole,1JD,Yes,916.0,C Felony,Violent,Kidnap,Yes,New,Male
10918,2012,2015,White - Non-Hispanic,25-34,D Felony,Public Order,OWI,Parole,1JD,Yes,105.0,Aggravated Misdemeanor,Property,Theft,Yes,New,Male
10919,2012,2015,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,554.0,Aggravated Misdemeanor,Drug,Drug Possession,Yes,New,Male
10920,2012,2015,Black - Non-Hispanic,35-44,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10921,2012,2015,Black - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole,7JD,Yes,166.0,,,,Yes,Tech,Female
10922,2012,2015,White - Non-Hispanic,35-44,C Felony,Violent,Sex,Discharged – End of Sentence,,Yes,609.0,D Felony,Violent,Sex,No,New,Male
10923,2012,2015,White - Non-Hispanic,25-34,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,331.0,,,,No,Tech,Male
10924,2012,2015,Black - Non-Hispanic,45-54,D Felony,Public Order,OWI,Parole,2JD,No,,,,,No,No Recidivism,Male
10925,2012,2015,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,Yes,198.0,C Felony,Drug,Trafficking,Yes,New,Male
10926,2012,2015,Black - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,ISC,No,,,,,Yes,No Recidivism,Male
10927,2012,2015,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,Traffic,Parole,5JD,No,,,,,Yes,No Recidivism,Female
10928,2012,2015,Black - Non-Hispanic,45-54,B Felony,Other,Other Criminal,Parole,8JD,No,,,,,Yes,No Recidivism,Male
10929,2012,2015,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,5JD,Yes,146.0,,,,Yes,Tech,Female
10930,2012,2015,Black - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,754.0,D Felony,Drug,Other Drug,No,New,Male
10931,2012,2015,White - Non-Hispanic,Under 25,C Felony,Violent,Sex,Special Sentence,2JD,No,,,,,Yes,No Recidivism,Male
10932,2012,2015,Black - Non-Hispanic,Under 25,D Felony,Property,Burglary,Parole,3JD,No,,,,,Yes,No Recidivism,Male
10933,2012,2015,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Theft,Parole,5JD,Yes,135.0,,,,Yes,Tech,Female
10934,2012,2015,White - Non-Hispanic,35-44,Serious Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
10935,2012,2015,White - Non-Hispanic,35-44,Serious Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
10936,2012,2015,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Parole,6JD,No,,,,,Yes,No Recidivism,Male
10937,2012,2015,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Parole,1JD,Yes,737.0,Aggravated Misdemeanor,Drug,Drug Possession,Yes,New,Male
10938,2012,2015,White - Non-Hispanic,25-34,D Felony,Property,Theft,Parole,2JD,Yes,249.0,Aggravated Misdemeanor,Property,Theft,Yes,New,Male
10939,2012,2015,White - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,1JD,No,,,,,Yes,No Recidivism,Female
10940,2012,2015,White - Non-Hispanic,Under 25,D Felony,Public Order,Sex Offender Registry/Residency,Parole,5JD,Yes,47.0,,,,Yes,Tech,Male
10941,2012,2015,Black - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,1JD,No,,,,,Yes,No Recidivism,Male
10942,2012,2015,Black - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,1JD,No,,,,,Yes,No Recidivism,Male
10943,2012,2015,White - Non-Hispanic,25-34,C Felony,Property,Burglary,Parole,7JD,No,,,,,Yes,No Recidivism,Male
10944,2012,2015,White - Non-Hispanic,25-34,C Felony,Property,Burglary,Parole,7JD,No,,,,,Yes,No Recidivism,Male
10945,2012,2015,Black - Non-Hispanic,25-34,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10946,2012,2015,Black - Non-Hispanic,25-34,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10947,2012,2015,Black - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,5JD,Yes,404.0,,,,Yes,Tech,Male
10948,2012,2015,White - Non-Hispanic,45-54,C Felony,Violent,Sex,Parole,ISC,No,,,,,Yes,No Recidivism,Male
10949,2012,2015,White - Non-Hispanic,35-44,C Felony,Property,Theft,Parole,5JD,No,,,,,Yes,No Recidivism,Male
10950,2012,2015,White - Non-Hispanic,35-44,C Felony,Property,Theft,Parole,5JD,No,,,,,Yes,No Recidivism,Male
10951,2012,2015,White - Non-Hispanic,35-44,C Felony,Property,Theft,Parole,5JD,No,,,,,Yes,No Recidivism,Male
10952,2012,2015,White - Non-Hispanic,35-44,C Felony,Property,Theft,Parole,5JD,No,,,,,Yes,No Recidivism,Male
10953,2012,2015,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,3JD,No,,,,,Yes,No Recidivism,Male
10954,2012,2015,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,3JD,No,,,,,Yes,No Recidivism,Male
10955,2012,2015,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,3JD,No,,,,,Yes,No Recidivism,Male
10956,2012,2015,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,3JD,No,,,,,Yes,No Recidivism,Male
10957,2012,2015,,35-44,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10958,2012,2015,Asian or Pacific Islander - Non-Hispanic,45-54,Aggravated Misdemeanor,Other,Special Sentence Revocation,Special Sentence,5JD,Yes,1047.0,,,,Yes,Tech,Male
10959,2012,2015,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,8JD,No,,,,,Yes,No Recidivism,Female
10960,2012,2015,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,8JD,No,,,,,Yes,No Recidivism,Female
10961,2012,2015,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,6JD,Yes,690.0,,,,Yes,Tech,Male
10962,2012,2015,White - Non-Hispanic,25-34,C Felony,Property,Vandalism,Parole,5JD,No,,,,,Yes,No Recidivism,Male
10963,2012,2015,White - Non-Hispanic,35-44,D Felony,Public Order,OWI,Parole,5JD,Yes,158.0,,,,Yes,Tech,Male
10964,2012,2015,White - Hispanic,25-34,Aggravated Misdemeanor,Violent,Sex,Special Sentence,7JD,Yes,99.0,,,,Yes,Tech,Male
10965,2012,2015,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Parole,1JD,No,,,,,Yes,No Recidivism,Male
10966,2012,2015,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Parole,1JD,No,,,,,Yes,No Recidivism,Male
10967,2012,2015,White - Non-Hispanic,Under 25,C Felony,Property,Burglary,Parole,6JD,Yes,300.0,,,,Yes,Tech,Male
10968,2012,2015,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,5JD,Yes,287.0,B Felony,Drug,Trafficking,Yes,New,Male
10969,2012,2015,Black - Non-Hispanic,25-34,C Felony,Property,Burglary,Discharged – End of Sentence,,Yes,495.0,B Felony,Violent,Robbery,No,New,Male
10970,2012,2015,White - Non-Hispanic,45-54,D Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
10971,2012,2015,White - Non-Hispanic,45-54,D Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
10972,2012,2015,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,Yes,560.0,Aggravated Misdemeanor,Violent,Assault,Yes,New,Male
10973,2012,2015,Black - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Male
10974,2012,2015,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Parole,5JD,Yes,398.0,,,,No,Tech,Male
10975,2012,2015,White - Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10976,2012,2015,White - Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10977,2012,2015,White - Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10978,2012,2015,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Parole,1JD,No,,,,,Yes,No Recidivism,Male
10979,2012,2015,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,5JD,Yes,102.0,,,,Yes,Tech,Male
10980,2012,2015,Black - Non-Hispanic,25-34,D Felony,Property,Vandalism,Parole,1JD,No,,,,,Yes,No Recidivism,Male
10981,2012,2015,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,5JD,Yes,292.0,Serious Misdemeanor,Public Order,Flight/Escape,Yes,New,Male
10982,2012,2015,White - Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10983,2012,2015,White - Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10984,2012,2015,White - Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10985,2012,2015,White - Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10986,2012,2015,White - Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10987,2012,2015,Black - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Violent,Robbery,Parole,3JD,No,,,,,Yes,No Recidivism,Male
10988,2012,2015,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Parole,1JD,No,,,,,Yes,No Recidivism,Female
10989,2012,2015,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,5JD,Yes,214.0,Serious Misdemeanor,Violent,Assault,Yes,New,Male
10990,2012,2015,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Parole,2JD,No,,,,,Yes,No Recidivism,Male
10991,2012,2015,White - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,8JD,No,,,,,Yes,No Recidivism,Male
10992,2012,2015,White - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,8JD,No,,,,,Yes,No Recidivism,Male
10993,2012,2015,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole,3JD,No,,,,,Yes,No Recidivism,Male
10994,2012,2015,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,2JD,No,,,,,Yes,No Recidivism,Male
10995,2012,2015,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,2JD,No,,,,,Yes,No Recidivism,Male
10996,2012,2015,White - Non-Hispanic,45-54,B Felony,Drug,Trafficking,Parole,5JD,Yes,174.0,Serious Misdemeanor,Property,Vandalism,Yes,New,Male
10997,2012,2015,White - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Public Order,Alcohol,Parole,7JD,No,,,,,Yes,No Recidivism,Male
10998,2012,2015,Black - Hispanic,25-34,C Felony,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
10999,2012,2015,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,4JD,No,,,,,Yes,No Recidivism,Female
11000,2012,2015,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
11001,2012,2015,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
11002,2012,2015,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
11003,2012,2015,Black - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Property,Burglary,Discharged – End of Sentence,,Yes,569.0,C Felony,Property,Burglary,No,New,Male
11004,2012,2015,White - Non-Hispanic,45-54,D Felony,Drug,Trafficking,Parole,3JD,No,,,,,Yes,No Recidivism,Male
11005,2012,2015,White - Hispanic,Under 25,Aggravated Misdemeanor,Violent,Sex,Special Sentence,2JD,Yes,353.0,,,,Yes,Tech,Male
11006,2012,2015,White - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,805.0,Aggravated Misdemeanor,Public Order,Alcohol,No,New,Male
11007,2012,2015,White - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,169.0,Aggravated Misdemeanor,Public Order,Alcohol,No,New,Male
11008,2012,2015,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,4JD,Yes,224.0,,,,Yes,Tech,Male
11009,2012,2015,Black - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,1JD,No,,,,,Yes,No Recidivism,Male
11010,2012,2015,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,5JD,Yes,269.0,Aggravated Misdemeanor,Violent,Assault,Yes,New,Male
11011,2012,2015,Black - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole,3JD,No,,,,,Yes,No Recidivism,Female
11012,2012,2015,White - Non-Hispanic,55 and Older,C Felony,Drug,Trafficking,Parole,8JD,No,,,,,No,No Recidivism,Male
11013,2012,2015,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,515.0,B Felony,Drug,Trafficking,No,New,Male
11014,2012,2015,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,647.0,Aggravated Misdemeanor,Property,Burglary,Yes,New,Male
11015,2012,2015,White - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Drug,Drug Possession,Parole,2JD,No,,,,,Yes,No Recidivism,Female
11016,2012,2015,Black - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Parole,5JD,Yes,748.0,,,,Yes,Tech,Male
11017,2012,2015,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,ISC,No,,,,,No,No Recidivism,Male
11018,2012,2015,Asian or Pacific Islander - Non-Hispanic,45-54,Aggravated Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
